12.19,0.94257
12.20,0.94326
12.21,0.94395
12.22,0.94462
12.23,0.94530
12.24,0.94596
12.25,0.94662
12.26,0.94728
12.27,0.94793
12.28,0.94858
12.29,0.94922
12.30,0.94985
12.31,0.95048
12.32,0.95110
12.33,0.95172
12.34,0.95234
12.35,0.95295
12.36,0.95355
12.37,0.95415
12.38,0.95474
12.39,0.95533
12.40,0.95592
12.41,0.95649
12.42,0.95707
12.43,0.95764
12.44,0.95820
12.45,0.95876
12.46,0.95932
12.47,0.95987
12.48,0.96042
12.49,0.96096
12.50,0.96149
12.51,0.96203
12.52,0.96256
12.53,0.96308
12.54,0.96360
12.55,0.96411
12.56,0.96462
12.57,0.96511
12.58,0.96561
12.59,0.96609
12.60,0.96657
12.61,0.96705
12.62,0.96751
12.63,0.96797
12.64,0.96843
12.65,0.96888
12.66,0.96932
12.67,0.96976
12.68,0.97019
12.69,0.97062
12.70,0.97104
12.71,0.97145
12.72,0.97186
12.73,0.97227
12.74,0.97267
12.75,0.97306
12.76,0.97345
12.77,0.97383
12.78,0.97421
12.79,0.97459
12.80,0.97495
12.81,0.97532
12.82,0.97568
12.83,0.97603
12.84,0.97638
12.85,0.97672
12.86,0.97706
12.87,0.97740
12.88,0.97773
12.89,0.97806
12.90,0.97838
12.91,0.97870
12.92,0.97901
12.93,0.97932
12.94,0.97963
12.95,0.97993
12.96,0.98022
12.97,0.98052
12.98,0.98081
12.99,0.98109
13.00,0.98137
13.01,0.98165
13.02,0.98192
13.03,0.98219
13.04,0.98246
13.05,0.98272
13.06,0.98298
13.07,0.98324
13.08,0.98349
13.09,0.98374
13.10,0.98398
13.11,0.98423
13.12,0.98446
13.13,0.98470
13.14,0.98493
13.15,0.98516
13.16,0.98539
13.17,0.98561
13.18,0.98583
13.19,0.98604
13.20,0.98626
13.21,0.98647
13.22,0.98668
13.23,0.98688
13.24,0.98708
13.25,0.98728
13.26,0.98748
13.27,0.98767
13.28,0.98786
13.29,0.98805
13.30,0.98823
13.31,0.98842
13.32,0.98860
13.33,0.98877
13.34,0.98895
13.35,0.98912
13.36,0.98929
13.37,0.98946
13.38,0.98962
13.39,0.98979
13.40,0.98995
13.41,0.99011
13.42,0.99026
13.43,0.99042
13.44,0.99057
13.45,0.99072
13.46,0.99086
13.47,0.99101
13.48,0.99115
13.49,0.99129
13.50,0.99143
13.51,0.99157
13.52,0.99170
13.53,0.99184
13.54,0.99197
13.55,0.99210
13.56,0.99222
13.57,0.99235
13.58,0.99247
13.59,0.99259
13.60,0.99271
13.61,0.99283
13.62,0.99295
13.63,0.99306
13.64,0.99317
13.65,0.99328
13.66,0.99339
13.67,0.99350
13.68,0.99361
13.69,0.99371
13.70,0.99382
13.71,0.99392
13.72,0.99402
13.73,0.99412
13.74,0.99421
13.75,0.99431
13.76,0.99440
13.77,0.99449
13.78,0.99459
13.79,0.99468
13.80,0.99476
13.81,0.99485
13.82,0.99494
13.83,0.99502
13.84,0.99511
13.85,0.99519
13.86,0.99527
13.87,0.99535
13.88,0.99543
13.89,0.99550
13.90,0.99558
13.91,0.99565
13.92,0.99573
13.93,0.99580
13.94,0.99587
13.95,0.99594
